Date,Date.Regular.Freq,ffr_shock,fw_shock,lsap_shock,lsap_shock2,exchange.rate.open,exchange.rate.close,log.diff.exchange.rate,bmv.ipc.volume,bmv.ipc.open,bmv.ipc.close,log.diff.bmv.ipc,naftrac_open,naftrac_close,log.diff.naftrac,dcetes28,dcetes91,dcetes182,dcetes364
2002-09-24,2011-04-01,0.3159,-0.4086,-0.0436,0.0436,10.287,10.2765,-0.0010212270199665419,84063000,5740.85009765625,5705.669921875,-0.006146896435385685,NA,NA,NA,NA,NA,NA,NA
2002-11-06,2011-05-01,-2.1545,0.545,1.2461,-1.2461,10.1825,10.173,-9.334087288190851e-4,56273200,6041.93017578125,6064,0.0036461219168373304,NA,NA,NA,NA,NA,NA,NA
2002-12-10,2011-06-01,0.0903,0.693,0.2611,-0.2611,10.178,10.18,1.9648295573571062e-4,42920000,6053.39990234375,6081.52001953125,0.004634586417067155,NA,NA,NA,NA,NA,NA,NA
2003-01-29,2011-07-01,0.3047,0.9744,-0.0457,0.0457,10.984,10.972,-0.0010930953903129925,60833600,5918.31982421875,5937.97021484375,0.003314765167337086,NA,NA,NA,NA,NA,NA,NA
2003-03-18,2011-08-01,0.211,-0.2129,0.153,-0.153,10.83,10.884,0.004973759908100561,72161000,6011.93994140625,6042.759765625,0.005113340376725617,NA,NA,NA,NA,NA,NA,NA
2003-05-06,2011-09-01,0.5107,-2.3955,-0.7233,0.7233,10.24,10.269,0.002828028604796362,72420400,6604.14990234375,6614.68017578125,0.0015932235459175104,6.65,6.65,0,NA,NA,NA,NA
2003-06-25,2011-10-01,1.606,0.6574,0.4157,-0.4157,10.487,10.47,-0.001622369969822568,85169200,7114.72998046875,7078.35986328125,-0.005125056939203176,7.17,7.16,-0.0013956736389746371,-0.1819670000000002,-0.12379500000000032,-0.16947700000000054,-0.07860900000000015
2003-08-12,2011-11-01,0.3002,-1.0697,-0.1837,0.1837,10.7605,10.7265,-0.0031647068810793932,42913200,7356.68017578125,7358.3701171875,2.296888396617902e-4,7.42,7.42,0,0.029634000000000604,-0.051886999999999794,-0.07481399999999994,-0.03450199999999981
2003-09-16,2011-12-01,0.2693,-0.1075,-0.0068,0.0068,10.9235,10.92,0.0035183148399142716,44432200,7714.77001953125,7729.14013671875,0.0018609433995955271,7.8,7.8,0,-0.1621630000000005,-0.04247399999999946,-0.022823000000000704,0.031630999999999965
2003-10-28,2012-01-01,0.3265,-2.3187,-0.1503,0.1503,11.05,11.068,0.001627633960917585,96813000,7905.18994140625,7928.72021484375,0.002972138976000238,7.9,7.92,0.002528446353358582,-0.2321749999999998,-0.2466879999999998,-0.2850380000000001,-0.14456699999999945
2003-12-09,2012-02-01,-0.0291,1.5696,-0.7962,0.7962,11.18,11.165,-0.0013425824348320958,66922000,8509.4599609375,8429.0302734375,-0.009496748632313867,8.49,8.4,-0.010657294473988,-0.32327499999999976,-0.288818,-0.1490620000000007,-0.13476399999999966
2004-01-28,2012-03-01,-0.223,4.4319,-0.2286,0.2286,10.939,10.945,5.483458371724481e-4,154516000,9612.4599609375,9551.1298828125,-0.006400709680320915,9.58,9.5,-0.008385793376273654,0.05975199999999958,0.06074799999999936,0.05187000000000008,0.02124100000000073
